"# BLOCK 1: ASSUMPTIONS. Reporting currency AUD (ChimeraShield Pty Ltd). US prices set in USD and converted at fx_usd_per_aud. Ex GST. Planning model; not tax or accounting advice. Labels: Evidence = sourced (S = search summary, page not opened); Estimate = CFO estimate, verify; Assumption = unvalidated (0 customer interviews); Decision = recommended price. Updated 2026-09-26."
key,conservative,base,aggressive,unit,label,note
fixed_us_mailbox_usd,15,15,15,USD/mo,Estimate (US virtual mailbox US$10-20),US postal address for CAN-SPAM footer and US buyer trust
fixed_tools_usd,31,31,31,USD/mo,Estimate,"landing page $2, password mgr $4, HIBP ~$5, LLM dev $20"
fixed_bookkeeping_aud,35,35,35,AUD/mo,Estimate (Xero entry plan),needed for BAS if GST-registered
insurance_aud_per_year,8000,5500,3500,"AUD/yr, paid monthly","Estimate (UNVERIFIED, legal-ops A$3.5k-8k with US/Canada cover)",get broker quotes; upfront payment changes cash timing only
accountant_aud_per_year,4000,2500,1500,"AUD/yr, paid monthly",Estimate (entity-options A$1.5k-4k),"company return, statements, BAS"
asic_annual_aud,342,342,342,AUD/yr,Evidence (S: ASIC from 1 Jul 2026),paid M13 (Oct 2027)
## One-time costs (AUD),,,,,,
onetime_asic_aud,636,636,636,AUD in M1,Evidence (S: ASIC registration from 1 Jul 2026),
onetime_accountant_consult_aud,500,400,300,AUD in M1,Estimate (A$300-500),"GST registration, W-8BEN-E, pay structure"
onetime_legal_aud,1500,1000,750,AUD in M1,Estimate,"engagement letter / ToS / privacy review, AU + US customers"
ads_usd,300,300,300,"USD total, 15 Oct-12 Dec",Decision (founder approved),"split by days: Oct 17, Nov 30, Dec 12 of 59"
partner_fee,0.15,0.15,0.15,of first-year collected revenue,Assumption,not in monthly rows (CAC table only)

# Seasonality index by calendar month (new sales). US accounting M1 (Oct 2026) also x0.6 because S5 goes live 15 Oct. AU index is an Assumption (peak lodgment Jul-early Nov; holiday mid-Dec to Jan).
calendar_month,1,2,3,4,5,6,7,8,9,10,11,12
us_accounting,0.05,0.0,0.0,0.2,0.6,0.6,0.5,0.6,0.8,1.2,1.5,0.9
us_dental,0.9,1.0,1.0,1.0,1.0,0.9,0.8,0.8,1.0,1.0,0.9,0.6
au_accounting,0.0,0.8,1.0,0.6,0.2,0.3,0.2,0.3,0.3,0.2,1.0,0.4

# BLOCK 2: MONTHLY MODEL (M1 = Oct 2026). AUD unless the column says usd. Filter by scenario. Fractional customers are expected values. Cash basis: annual prepay collected up front; watch_mrr spreads it. Founder pay columns include 12% super.
scenario,month,period,new_packs_us_accounting,new_packs_us_dental,new_packs_au,cumulative_packs,pack_revenue_us_usd,pack_revenue_au_aud,refresh_revenue_aud,new_watch_subs,active_watch_subs,active_watch_subs_au,watch_mrr_aud,watch_cash_aud,pack_credits_aud,total_cash_in_aud,cogs_llm_aud,cogs_infra_email_aud,cogs_stripe_aud,gross_profit_cash_aud,fixed_costs_aud,one_time_costs_aud,ads_aud,net_cash_before_founder_pay_aud,cumulative_cash_before_founder_pay_aud,net_cash_before_founder_pay_usd_equiv,cumulative_cash_usd_equiv,founder_hours_packs,founder_hours_watch,founder_hours_delivery_total,net_after_A3000_pay_plus_super,net_after_A7500_pay_plus_super
conservative,1,2026-10,0.58,0,0,0.58,285.12,0.0,0.0,0.36,0.36,0,23.73,104.58,0.0,511.89,1.87,0.51,29.17,480.34,1323.84,2636,123.49,-3602.99,-3602.99,-2522.09,-2522.09,5.47,0.14,5.62,-6962.99,-12002.99
conservative,2,2026-11,1.24,0,0.5,2.31,611.82,375.0,0.0,0.64,0.98,0,64.85,187.45,12.96,1436.47,5.59,1.41,66.94,1362.55,1345.27,0,217.92,-200.64,-3803.63,-140.45,-2662.54,16.49,0.39,16.89,-3560.64,-8600.64
conservative,3,2026-12,0.76,0,0.5,3.58,378.1,375.0,0.0,0.81,1.76,0.15,117.31,235.48,36.25,1150.63,4.73,2.51,50.6,1092.79,1345.27,0,87.17,-339.65,-4143.28,-237.75,-2900.3,12.0,0.7,12.7,-3699.65,-8739.65
conservative,4,2027-01,0.04,0,0,3.62,38.25,0.0,0.0,0.4,2.1,0.29,141.08,150.69,20.71,205.32,2.72,3.0,11.49,188.11,1345.27,0,0,-1157.16,-5300.44,-810.01,-3710.31,0.42,1.38,1.8,-4517.16,-9557.16
conservative,5,2027-02,0.0,0,0.24,3.86,0.0,180.0,0.0,0.09,2.12,0.36,143.08,115.98,1.4,295.98,3.27,3.03,9.35,280.33,1345.27,0,0,-1064.94,-6365.38,-745.46,-4455.77,2.28,1.38,3.66,-4424.94,-9464.94
conservative,6,2027-03,0.0,0,0.31,4.17,0.0,229.5,0.0,0.17,2.23,0.52,151.14,134.44,4.05,363.94,3.48,3.18,10.51,346.76,1345.27,0,0,-998.51,-7363.89,-698.96,-5154.72,2.91,1.4,4.31,-4358.51,-9398.51
conservative,7,2027-04,0.19,0,0.19,4.54,167.17,246.26,0.0,0.22,2.38,0.65,162.21,149.4,5.16,634.48,3.8,3.39,24.83,602.45,1345.27,0,0,-742.82,-8106.71,-519.98,-5674.7,3.59,1.47,5.06,-4102.82,-9142.82
conservative,8,2027-05,0.59,0,0.06,5.2,516.55,83.73,0.0,0.35,2.57,0.71,175.13,171.01,12.46,992.66,3.5,3.67,51.55,933.94,1345.27,0,0,-411.33,-8518.04,-287.93,-5962.63,4.8,1.03,5.83,-3771.33,-8811.33
conservative,9,2027-06,0.61,0,0.1,5.9,532.04,128.11,0.0,0.45,2.94,0.73,200.04,197.32,21.12,1085.48,3.88,4.2,55.32,1022.08,1345.27,0,0,-323.19,-8841.23,-226.24,-6188.86,4.58,1.18,5.76,-3683.19,-8723.19
conservative,10,2027-07,0.52,0.13,0.07,6.62,573.34,87.11,0.0,0.47,3.31,0.75,224.93,215.89,22.83,1122.05,4.17,4.73,59.13,1054.03,1345.27,0,0,-291.25,-9132.48,-203.87,-6392.73,4.56,1.33,5.89,-3651.25,-8691.25
conservative,11,2027-08,0.65,0.27,0.1,7.64,802.44,133.28,0.0,0.57,3.77,0.78,255.69,255.49,23.3,1535.12,5.31,5.39,80.49,1443.94,1345.27,0,0,98.67,-9033.81,69.07,-6323.67,6.46,1.51,7.97,-3261.33,-8301.33
conservative,12,2027-09,0.89,0.52,0.1,9.15,1230.35,135.95,0.0,0.82,4.47,0.81,302.16,324.2,32.9,2217.79,7.15,6.38,118.7,2085.55,1345.27,0,0,740.28,-8293.53,518.19,-5805.47,9.42,1.79,11.21,-2619.72,-7659.72
conservative,13,2027-10,1.37,0.71,0.07,11.3,1816.68,92.44,0.0,1.19,5.46,0.83,368.06,519.67,60.08,3207.37,9.6,7.8,176.85,3013.12,1345.27,342,0,1325.84,-6967.69,928.09,-4877.38,13.12,2.18,15.31,-2034.16,-7074.16
conservative,14,2027-11,1.76,0.81,0.36,14.23,2252.31,471.46,68.26,1.63,6.83,0.93,459.68,702.65,86.71,4459.96,12.72,9.76,232.67,4204.81,1345.27,0,0,2859.54,-4108.15,2001.68,-2875.7,16.64,2.73,19.37,-500.46,-5540.46
conservative,15,2027-12,1.09,0.66,0.15,16.13,1532.57,192.36,208.94,1.51,8.02,1.03,539.21,721.72,117.5,3312.41,10.52,11.46,177.33,3113.11,1345.27,0,0,1767.84,-2340.31,1237.49,-1638.22,10.0,3.21,13.21,-1592.16,-6632.16
conservative,16,2028-01,0.06,1.01,0.0,17.21,941.38,0.0,152.99,0.86,8.58,1.02,576.23,546.83,61.24,2044.65,12.47,12.25,113.54,1906.38,1345.27,0,0,561.11,-1779.2,392.78,-1245.44,5.37,5.12,10.49,-2798.89,-7838.89
conservative,17,2028-02,0.0,1.15,0.3,18.66,1005.1,400.26,5.18,0.7,8.99,1.06,603.09,527.87,34.58,2369.16,13.69,12.84,118.13,2224.51,1345.27,0,0,879.24,-899.96,615.47,-629.97,7.92,5.23,13.15,-2480.76,-7520.76
conservative,18,2028-03,0.0,1.17,0.39,20.22,1025.2,510.33,29.99,0.84,9.51,1.2,675.67,701.24,47.19,2706.13,14.21,13.58,131.58,2546.76,1345.27,0,0,1201.49,301.53,841.04,211.07,7.7,5.39,13.09,-2158.51,-7198.51
conservative,19,2028-04,0.27,1.2,0.24,21.92,1284.05,312.32,38.23,0.93,10.1,1.32,776.31,858.49,50.76,3043.4,14.95,14.43,158.69,2855.33,1345.27,0,0,1510.06,1811.59,1057.04,1268.11,8.16,5.61,13.76,-1849.94,-6889.94
conservative,20,2028-05,0.84,1.22,0.08,24.06,1803.09,106.19,46.04,1.15,10.63,1.36,892.81,1051.35,55.18,3779.42,12.87,15.18,209.93,3541.44,1345.27,0,0,2196.17,4007.75,1537.32,2805.43,9.92,4.25,14.17,-1163.83,-6203.83
conservative,21,2028-06,0.87,1.12,0.12,26.17,1737.72,162.47,77.91,1.27,11.51,1.36,1043.82,1215.56,68.96,3938.4,13.34,16.44,218.8,3689.82,1345.27,0,0,2344.55,6352.31,1641.19,4446.61,9.95,4.6,14.55,-1015.45,-6055.45
conservative,22,2028-07,0.74,1.01,0.08,28.02,1538.87,110.48,84.23,1.17,12.26,1.37,1174.63,1276.36,68.0,3669.45,13.05,17.51,206.36,3432.53,1345.27,0,0,2087.26,8439.57,1461.08,5907.7,8.72,4.9,13.62,-1272.74,-6312.74
conservative,23,2028-08,0.92,1.03,0.13,30.1,1710.29,169.03,85.92,1.17,12.97,1.37,1299.63,1386.16,59.37,4084.38,14.19,18.53,228.01,3823.65,1345.27,0,0,2478.38,10917.95,1734.87,7642.56,9.87,5.19,15.06,-881.62,-5921.62
conservative,24,2028-09,1.26,1.32,0.13,32.81,2259.75,172.41,121.34,1.43,13.9,1.39,1456.76,1621.97,67.17,5143.94,16.58,19.86,288.02,4819.48,1345.27,0,0,3474.21,14392.15,2431.94,10074.51,12.84,5.56,18.4,114.21,-4925.79
base,1,2026-10,1.08,0,0,1.08,534.6,0.0,0.0,0.72,0.72,0,46.2,277.2,0.0,1040.91,3.54,1.03,59.73,976.61,990.51,2036,123.49,-2173.38,-2173.38,-1521.37,-1521.37,10.25,0.29,10.54,-5533.38,-10573.38
base,2,2026-11,2.36,0,1.0,4.44,1169.44,750.0,0.0,1.43,2.14,0,137.14,523.18,52.07,2943.81,10.97,3.05,138.98,2790.81,1011.94,0,217.92,1560.95,-612.43,1092.67,-428.7,30.4,0.86,31.26,-1799.05,-6839.05
base,3,2026-12,1.49,0,1.0,6.93,736.75,750.0,0.0,2.11,4.21,0.45,275.02,686.63,139.22,2489.12,9.78,6.01,112.44,2360.89,1011.94,0,87.17,1261.78,649.35,883.25,454.54,18.43,1.68,20.11,-2098.22,-7138.22
base,4,2027-01,0.09,0,0,7.02,75.97,0.0,0.0,1.15,5.29,0.89,350.87,365.65,61.19,474.18,6.69,7.55,25.67,434.26,1011.94,0,0,-577.68,71.67,-404.38,50.17,0.52,3.43,3.96,-3937.68,-8977.68
base,5,2027-02,0.0,0,0.48,7.5,0.0,360.0,0.0,0.2,5.38,1.02,358.1,252.95,4.19,612.95,7.85,7.69,19.42,577.99,1011.94,0,0,-433.94,-362.28,-303.76,-253.59,4.56,3.46,8.02,-3793.94,-8833.94
base,6,2027-03,0.0,0,0.62,8.12,0.0,468.0,0.0,0.42,5.69,1.41,381.94,305.7,12.15,773.7,8.4,8.13,22.38,734.78,1011.94,0,0,-277.16,-639.43,-194.01,-447.6,5.56,3.56,9.12,-3637.16,-8677.16
base,7,2027-04,0.4,0,0.39,8.91,351.78,512.03,0.0,0.56,6.14,1.78,414.82,351.14,15.79,1365.7,9.22,8.77,53.23,1294.48,1011.94,0,0,282.54,-356.89,197.78,-249.82,4.75,3.76,8.51,-3077.46,-8117.46
base,8,2027-05,1.27,0.25,0.13,10.56,1326.84,177.5,0.0,1.0,6.89,1.95,465.48,436.48,39.1,2509.47,9.09,9.84,131.24,2359.3,1011.94,0,0,1347.37,990.48,943.16,693.33,9.91,2.75,12.67,-2012.63,-7052.63
base,9,2027-06,1.33,0.47,0.21,12.57,1573.0,276.91,0.0,1.52,8.26,2.02,557.82,553.18,79.95,3077.22,10.98,11.8,160.34,2894.11,1011.94,0,0,1882.17,2872.64,1317.52,2010.85,12.04,3.3,15.35,-1477.83,-6517.83
base,10,2027-07,1.16,0.65,0.15,14.53,1585.9,191.99,0.0,1.65,9.73,2.1,656.82,634.28,97.34,3091.84,11.78,13.9,165.26,2900.9,1011.94,0,0,1888.96,4761.6,1322.27,3333.12,10.94,3.89,14.83,-1471.04,-6511.04
base,11,2027-08,1.47,0.9,0.23,17.12,2070.16,299.5,0.0,1.85,11.37,2.17,777.3,790.6,94.78,4047.47,14.63,16.24,215.19,3801.42,1011.94,0,0,2789.48,7551.08,1952.63,5285.76,12.02,4.55,16.56,-570.52,-5610.52
base,12,2027-09,2.05,1.46,0.24,20.88,3075.39,311.48,0.0,2.55,13.66,2.28,1127.01,1635.75,125.6,6340.65,19.4,19.52,347.56,5954.17,1011.94,0,0,4942.23,12493.32,3459.56,8745.32,17.24,5.46,22.7,1582.23,-3457.77
base,13,2027-10,3.23,1.82,0.16,26.1,4425.33,215.96,0.0,3.62,16.88,2.37,1608.97,3253.81,280.41,9791.67,25.64,24.11,554.71,9187.2,1011.94,342,0,7833.26,20326.58,5483.28,14228.61,23.75,6.75,30.5,4473.26,-566.74
base,14,2027-11,4.24,1.71,0.85,32.9,5207.03,1122.99,134.07,4.79,21.11,2.59,2233.75,4488.28,408.01,13183.96,32.85,30.16,716.33,12404.62,1011.94,0,0,11392.68,31719.26,7974.88,22203.48,32.38,8.44,40.82,8032.68,2992.68
base,15,2027-12,2.67,1.18,0.36,37.12,3375.09,467.17,424.19,4.57,24.99,2.96,2796.62,4639.37,534.71,10352.28,27.9,35.69,579.05,9709.63,1011.94,0,0,8697.69,40416.95,6088.39,28291.87,20.97,9.99,30.97,5337.69,297.69
base,16,2028-01,0.16,1.85,0.0,39.12,1753.05,0.0,315.67,2.5,26.87,3.02,3089.44,2937.81,203.96,5757.84,34.84,38.39,330.23,5354.39,1011.94,0,0,4342.45,44759.4,3039.71,31331.58,10.11,15.9,26.01,982.45,-4057.55
base,17,2028-02,0.0,2.13,0.77,42.02,1868.1,1010.57,10.78,1.66,27.93,3.09,3253.39,2702.66,96.6,6392.72,37.9,39.91,330.33,5984.59,1011.94,0,0,4972.65,49732.05,3480.85,34812.44,14.25,16.24,30.5,1612.65,-3427.35
base,18,2028-03,0.0,2.22,1.0,45.24,1942.82,1313.74,62.83,2.11,29.41,3.54,3450.5,2928.65,141.84,7080.68,39.5,42.01,352.76,6646.42,1011.94,0,0,5634.48,55366.53,3944.13,38756.57,16.2,16.73,32.93,2274.48,-2765.52
base,19,2028-04,0.72,2.31,0.62,48.9,2652.27,819.78,81.68,2.46,31.18,3.99,3692.85,3237.75,157.63,7928.16,41.85,44.55,419.56,7422.2,1011.94,0,0,6410.26,61776.79,4487.18,43243.76,17.65,17.43,35.08,3050.26,-1989.74
base,20,2028-05,2.27,2.4,0.22,53.79,4091.33,284.19,100.88,3.19,33.09,4.2,4012.9,3887.39,177.71,10117.21,34.99,47.27,565.79,9469.15,1011.94,0,0,8457.22,70234.01,5920.05,49163.81,22.69,13.24,35.93,5097.22,57.22
base,21,2028-06,2.39,2.25,0.34,58.76,4056.34,443.33,205.92,3.76,36.03,4.24,4475.38,4464.53,236.38,10908.55,37.09,51.47,611.31,10208.68,1011.94,0,0,9196.74,79430.75,6437.72,55601.53,23.61,14.41,38.02,5836.74,796.74
base,22,2028-07,2.09,2.08,0.23,63.16,3646.55,307.38,250.74,3.59,38.72,4.32,4901.28,4730.61,240.58,10498.08,37.17,55.31,594.89,9810.71,1011.94,0,0,8798.78,88229.53,6159.14,61760.67,21.03,15.49,36.52,5438.78,398.78
base,23,2028-08,2.63,2.16,0.36,68.32,4194.63,479.51,244.11,3.57,41.31,4.37,5311.6,5098.51,212.77,11814.47,40.98,59.01,664.09,11050.39,1011.94,0,0,10038.45,98267.98,7026.91,68787.59,24.62,16.52,41.15,6678.45,1638.45
base,24,2028-09,3.69,2.81,0.38,75.2,5683.39,498.69,323.52,4.46,44.68,4.48,5830.95,6255.64,249.59,15196.98,48.02,63.82,857.18,14227.95,1011.94,0,0,13216.01,111483.99,9251.21,78038.79,32.64,17.87,50.51,9856.01,4816.01
aggressive,1,2026-10,1.8,0,0,1.8,891.0,0.0,0.0,1.2,1.2,0,75.6,537.6,0.0,1810.46,5.91,1.71,104.24,1698.6,740.51,1686,123.49,-851.4,-851.4,-595.98,-595.98,17.09,0.48,17.57,-4211.4,-9251.4
aggressive,2,2026-11,4.01,0,1.0,6.81,1986.19,750.0,0.0,2.68,3.87,0,243.91,1096.78,138.86,4684.19,16.78,5.53,240.23,4421.65,761.94,0,217.92,3441.79,2590.4,2409.26,1813.28,37.78,1.55,39.33,81.79,-4958.21
aggressive,3,2026-12,2.58,0,1.0,10.39,1275.13,750.0,0.0,4.04,7.87,0.6,503.23,1456.19,343.29,4027.81,15.22,11.25,203.79,3797.55,761.94,0,87.17,2948.45,5538.85,2063.91,3877.19,24.96,3.15,28.1,-411.55,-5451.55
aggressive,4,2027-01,0.15,0,0,10.54,133.99,0.0,0.0,2.21,10.0,1.19,650.52,634.19,116.55,825.6,12.97,14.28,46.46,751.9,761.94,0,0,-10.04,5528.8,-7.03,3870.16,0.92,6.64,7.56,-3370.04,-8410.04
aggressive,5,2027-02,0.0,0,0.8,11.34,0.0,600.0,0.0,0.41,10.29,1.49,672.14,435.48,9.84,1035.48,15.0,14.69,33.34,972.45,761.94,0,0,210.51,5739.31,147.36,4017.52,7.6,6.75,14.35,-3149.49,-8189.49
aggressive,6,2027-03,0.0,0.42,1.06,12.82,364.58,795.0,0.0,1.05,11.2,2.34,740.79,593.75,27.0,1909.58,17.44,16.01,70.61,1805.53,761.94,0,0,1043.59,6782.9,730.51,4748.03,9.56,7.09,16.65,-2316.41,-7356.41
aggressive,7,2027-04,0.75,0.88,0.67,15.13,1429.49,886.52,0.0,1.76,12.82,3.17,861.83,790.68,62.56,3719.33,20.99,18.32,167.47,3512.55,761.94,0,0,2750.62,9533.52,1925.43,6673.46,12.96,7.8,20.76,-609.38,-5649.38
aggressive,8,2027-05,2.41,1.4,0.24,19.18,3336.53,313.24,0.0,2.93,15.42,3.6,1239.19,1696.81,150.53,6776.51,21.37,22.02,367.92,6365.2,761.94,0,0,5603.26,15136.78,3922.28,10595.74,18.59,6.17,24.75,2243.26,-2796.74
aggressive,9,2027-06,2.58,1.79,0.38,23.92,3818.33,498.05,0.0,4.18,19.38,3.79,1823.88,2569.84,261.21,8522.64,25.86,27.68,465.15,8003.95,761.94,0,0,7242.01,22378.79,5069.41,15665.15,21.91,7.75,29.66,3882.01,-1157.99
aggressive,10,2027-07,2.3,2.1,0.27,28.59,3851.93,351.95,0.0,4.51,23.6,4.03,2443.17,3122.65,306.1,8977.36,28.33,33.71,500.37,8414.94,761.94,0,0,7653.01,30031.79,5357.1,21022.25,21.42,9.44,30.85,4293.01,-746.99
aggressive,11,2027-08,2.95,2.68,0.43,34.64,4923.78,559.61,0.0,4.9,28.13,4.24,3110.8,3797.99,301.06,11391.57,35.16,40.18,630.9,10685.33,761.94,0,0,9923.39,39955.18,6946.38,27968.63,27.88,11.25,39.13,6563.39,1523.39
aggressive,12,2027-09,4.21,3.55,0.45,42.85,6786.5,593.18,0.0,6.44,34.11,4.54,3987.44,4961.18,390.47,15249.37,45.11,48.73,851.72,14303.8,761.94,0,0,13541.86,53497.05,9479.3,37447.93,37.61,13.64,51.25,10181.86,5141.86
